,x,y,gamma1,gamma2
375,0.37537537537537535,0.9301337675762591,1.1548033600509215,1.1054518520184418
376,0.3763763763763764,0.9303763539354696,1.1540583968862042,1.105855672918262
377,0.37737737737737737,0.9306179603857337,1.1533167682209284,1.1062598089746791
378,0.3783783783783784,0.9308585935726508,1.1525784559849526,1.1066642593890699
379,0.3793793793793794,0.9310982600778785,1.1518434422399009,1.1070690233708431
380,0.38038038038038036,0.931336966419968,1.1511117091779988,1.1074741001373722
381,0.3813813813813814,0.9315747190551494,1.15038323912092,1.1078794889139207
382,0.38238238238238237,0.9318115243780201,1.149658014518652,1.1082851889335705
383,0.3833833833833834,0.9320473887223926,1.1489360179483659,1.1086911994371575
384,0.3843843843843844,0.9322823183619959,1.1482172321133004,1.1090975196731947
385,0.38538538538538536,0.9325163195111632,1.147501639841656,1.109504148897811
386,0.3863863863863864,0.9327493983256643,1.1467892240855058,1.1099110863746766
387,0.38738738738738737,0.932981560903295,1.146079967919711,1.11031833137494
388,0.3883883883883884,0.933212813284648,1.1453738545408507,1.1107258831771591
389,0.3893893893893894,0.9334431614537977,1.1446708672661599,1.1111337410672366
390,0.39039039039039036,0.9336726113389406,1.143970989532486,1.1115419043383514
391,0.3913913913913914,0.9339011688131242,1.1432742048952418,1.1119503722908977
392,0.3923923923923924,0.934128839694847,1.142580497027386,1.1123591442324163
393,0.3933933933933934,0.9343556297487521,1.1418898497183998,1.1127682194775341
394,0.3943943943943944,0.9345815446862258,1.141202246873283,1.1131775973479003
395,0.39539539539539537,0.9348065901661028,1.140517672511556,1.1135872771721202
396,0.3963963963963964,0.9350307717952169,1.1398361107662702,1.113997258285698
397,0.3973973973973974,0.9352540951290287,1.1391575458830363,1.1144075400309734
398,0.3983983983983984,0.935476565672261,1.1384819622190538,1.1148181217570596
399,0.3993993993993994,0.9356981888794799,1.1378093442421515,1.1152290028197835
400,0.40040040040040037,0.9359189701556686,1.1371396765298443,1.115640182581625
401,0.4014014014014014,0.9361389148568133,1.136472943768393,1.1160516604116613
402,0.4024024024024024,0.9363580282904954,1.1358091307518712,1.1164634356855017
403,0.4034034034034034,0.9365763157164291,1.1351482223812548,1.1168755077852364
404,0.4044044044044044,0.936793782347031,1.1344902036634998,1.1172878760993725
405,0.40540540540540543,0.9370104333479577,1.1338350597106515,1.117700540022781
406,0.4064064064064064,0.9372262738386801,1.1331827757389459,1.1181134989566388
407,0.4074074074074074,0.9374413088929218,1.132533337067929,1.1185267523083708
408,0.4084084084084084,0.9376555435393286,1.1318867291195758,1.1189402994915973
409,0.4094094094094094,0.9378689827618576,1.131242937417434,1.1193541399260765
